id	name	year	Bevtotaal	Wdicht	Wligplaats	Winstituut	Wcorhuur	Wkoop	Wparthuur
N61	IJplein/Vogelbuurt	2006	8136		39	5			
N62	Tuindorp Nieuwendam	2006	3428		4	0			
N63	Tuindorp Buiksloot	2006	1905		0	0			
N64	Nieuwendammerdijk/Buiksloterdijk	2006	1579		13	0			
N65	Tuindorp Oostzaan	2006	9423		63	23			
N66	Oostzanerwerf	2006	8882		72	1			
N67	Kadoelen	2006	2895		35	0			
N68	Waterlandpleinbuurt	2006	13235		0	3			
N69	Buikslotermeer	2006	10639		0	6			
N70	Banne Buiksloot	2006	13790		35	13			
N71	Noordelijke IJ-oevers-West	2006	617		86	0			
N72	Noordelijke IJ-oevers-Oost	2006	145		0	1			
N73	Waterland	2006	2076		81	1			
N74	Elzenhagen	2006	1100		1	0			
T92	Amstel III/Bullewijk	2006	117		2	7			
T93	Bijlmer-Centrum (D,F,H)	2006	21313		0	24			
T94	Bijlmer-Oost (E,G,K)	2006	22739		0	14			
T95	Nellestein	2006	2760		1	4			
T96	Holendrecht/Reigersbos	2006	18273		0	15			
T97	Gein	2006	12188		0	109			
T98	Driemond	2006	1517		0	0			
Z99	buiten beschouwing	2006							
A00	Burgwallen-Oude Zijde	2007	3733		2	18			
A01	Burgwallen-Nieuwe Zijde	2007	3505		12	3			
A02	Grachtengordel-West	2007	7641		74	16			
A03	Grachtengordel-Zuid	2007	5075		67	22			
A04	Nieuwmarkt/Lastage	2007	8547		197	23			
A05	Haarlemmerbuurt	2007	6985		212	97			
A06	Jordaan	2007	18847		124	17			
A07	De Weteringschans	2007	6916		80	8			
A08	Weesperbuurt/Plantage	2007	7456		116	21			
A09	Oostelijke Eilanden/Kadijken	2007	12113		158	10			
B10	Westelijk Havengebied	2007	257		20	3			
E12	Houthavens	2007	1681		260	0			
E13	Spaarndammer- en Zeeheldenbuurt	2007	10185		11	5			
E14	Staatsliedenbuurt	2007	12098		54	23			
