id	name	year	data1	data2
E14	Staatsliedenbuurt	2007	12098	6219
E15	Centrale Markt	2007	2442	1122
E16	Frederik Hendrikbuurt	2007	7652	3837
E17	Da Costabuurt	2007	4240	2143
E18	Kinkerbuurt	2007	5060	2614
E19	Van Lennepbuurt	2007	6615	3296
E20	Helmersbuurt	2007	6814	3269
E21	Overtoomse Sluis	2007	7093	3455
E22	Vondelbuurt	2007	1707	880
E36	Sloterdijk	2007	139	81
E37	Landlust	2007	18099	9151
E38	Erasmuspark	2007	5074	2514
E39	De Kolenkit	2007	7021	3553
E40	Geuzenbuurt	2007	6274	3063
E41	Van Galenbuurt	2007	5499	2743
E42	Hoofdweg e,o,	2007	10072	4991
E43	Westindische Buurt	2007	6415	3053
E75	Chassébuurt	2007	5587	2702
F11	Bedrijventerrein Sloterdijk	2007	78	47
F76	Slotermeer-Noordoost	2007	9137	4672
F77	Slotermeer-Zuidwest	2007	16077	7963
F78	Geuzenveld	2007	13799	6800
F79	Eendracht	2007	2320	1128
F80	Lutkemeer/Ookmeer	2007	894	439
F81	Osdorp-Oost	2007	14020	6527
F82	Osdorp-Midden	2007	10590	5019
F83	De Punt	2007	4967	2381
F84	Middelveldsche Akerpolder	2007	14373	7060
F85	Slotervaart-Noord	2007	7650	3796
F86	Overtoomse Veld	2007	9693	4798
F87	Westlandgracht	2007	4505	2330
F88	Sloter-/Riekerpolder	2007	13947	6918
F89	Slotervaart-Zuid	2007	8757	4000
K23	Zuidas	2007	83	43
K24	Oude Pijp	2007	13659	7010
K25	Nieuwe Pijp	2007	11352	5587
K26	Zuid-Pijp	2007	8181	3914
K44	Hoofddorppleinbuurt	2007	10648	4903
K45	Schinkelbuurt	2007	3728	1809
K46	Willemspark	2007	5161	2542
K47	Museumkwartier	2007	12631	6017
K48	Stadionbuurt	2007	10223	4707
K49	Apollobuurt	2007	8050	3795
K52	Scheldebuurt	2007	13099	5941
K53	IJselbuurt	2007	5026	2396
K54	Rijnbuurt	2007	8567	3946
K59	Prinses Irenebuurt e,o,	2007	1185	544
K90	Buitenveldert-West	2007	11717	5264
K91	Buitenveldert-Oost	2007	7107	3139
M27	Weesperzijde	2007	4346	2238
M28	Oosterparkbuurt	2007	10401	5344
