gebiedcode15;gebiednaam;jaar;Bevtotaal;Bev_prog2015;BevMan;BevVrouw;BevMan_p;BevVrouw_p;Bevdicht;Bevbrief;Bevinst;Bevinst_p;Bevstud;Bevpotbbv15_64;Bevpotbbv15_64_p;Bevpotbbv15_74;Bevpotbbv15_74_p;BevSur;BevAntil;BevTurk;BevMarok;BevovNW;BevWest;BevAutoch;BevSur_p;BevAntil_p;BevTurk_p;BevMarok_p;BevovNW_p;BevWest_p;BevAutoch_p;BevNW_p;BevegNW;BevegWest;BevNstedeling;BevNstedeling_p;Bev65auto;Bev65W;Bev65NW;Bev65auto_p;Bev65W_p;Bev65NW_p;Bev17auto;Bev17W;Bev17NW;Bev17auto_p;Bev17W_p;Bev17NW_p;Bevopllaag_p;Bevoplmid_p;Bevoplhoog_p;BevhuishoudenHH;BevgehzkindHH;BevgehmkindHH;BevongehzkindHH;BevongehmkindHH;BeveenouderHH;BevalleenHH;BevoverigHH;BeveenouderHH_p;BevalleenHH_p;BevpaarzkindHH_p;BevpaarmkindHH_p;BevHHmkind;BevHHmkind_p;Bevalleen0_17;Bevalleen18_29;Bevalleen30_49;Bevalleen50_79;Bevalleen80plus;Bevgeb;Bevsterf;Bevvest;Bevvert;Bevvestint;Bevvertint;Bevgelijkint;Bevmutnl_p;Bevmuttot_p;Bevwoonduur;Bev0_4;Bev5_9;Bev10_14;Bev15_19;Bev20_24;Bev25_29;Bev30_34;Bev35_39;Bev40_44;Bev45_49;Bev50_54;Bev55_59;Bev60_64;Bev65_69;Bev70_74;Bev75_79;Bev80_84;Bev85_89;Bev90_94;Bev95_99;Bev100plus;Bev0_3_p;Bev0_3;Bev4_11;Bev12_17;Bev18_22;Bev23_39;Bev40_64;Bev65plus;Bev65plus_p;Bevpeuter;Bev4_12;Bev4_12_p;Bev13_17;Bev0_17;Bev0_17_p;Bev0_18;Bev0_18_p;Bev18plus;Bev5_11;Bev15_26;Bev65_74;Bev75plus;Bev75plus_p;Bev80plus;Bev80plus_p;WvoorrBAG;W_prog2015;Wdicht;Wstandplaats;Wligplaats;Winstituut;Wwibo;Wgeschiktoud_p;Wgeschiktoud65_p;Wnultrede_p;Wcorhuur;Wkoop;Wparthuur;Wcorhuur_p;Wparthuur_p;Wkoop_p;Wopp0060;Wopp6080;Wopp80plus;Wopponb;Wopp0060_p;Wopp6080_p;Wopp80plus_p;Wopponb_p;Wbezet;Wwoz_gem;Wwoz_m2;Whuur_gem;Whuurlaag_p;whuurkwal_p;Whuurtslg_p;Whuurmidden_p;Whuurhoog_p;Whuurquote;Wwoning_r;Wwoningcorp_r;Wwoning65_r;Wonderhoudwoning_r;ORonderhoudwoningen_r;Wverhuis_p;Wverhuis65_p;ORomgevingmooi_r;ORwoningenmooi_r;ORgroenmooi_r;ORaanbodspelen_r;ORverloed_p;OR_verhard_5;OR_gras_5;OR_groen_5;ORschoonstraten_r;ORschoongroen_r;ORschoonspelen_r;ORonderhoudstraten_r;ORonderhoudgroen_r;ORonderhoudspelen_r;Mvervuiling_r;ORopp;ORwater;ORland;ORgroen;ORsport;ORwater_p;ORgroen_p;ORsport_p;ORverblijf_i;VKhard_p;VKagressief_p;Vptotaal;Vpfiscaal;Vpnietfisc;VKparkeren_r;VKfietsparkeren_r;VKparkeeroverlast_r;VKov_r;VKov65_r;VKoverlastverkeer_r;VKverkeerslawaai_r;Lbuurt_r;Lverwachtingbuurt_r;Lbuurtvoor_p;Lbuurtgelijk_p;Lbuurtacht_p;Lsoccoh_r;Lsockwal_p;Lthuisvoelen_r;Lomganggroepenb_r;Lbetrokken_r;Loverl_p;Loverltoe_p;Loverlgelijk_P;Loverlaf_p;Lburenoverlast_r;Loverlastanderegroepen_r;Lhorecaoverlast_r;Lspan_i;Lnegaho_p;Vveiligh_i;Vcrimin_i;Vvolume_i;Vimpact_i;Voverlast_i;Vverloed_i;Vpersonovl_i;Vbeleving_i;Vinbraak_i;Vslacht_p;Vslachtjong_p;Vslachtverm_p;Vslachtgew_p;Vslachtvan_p;Vslachtfiets_p;Vveiligvoelen_p;Vveiligvoelen65_p;Vveiligdag_r;Vveiligavond_r;Vcriminaliteit_r;Vcrimitoe_p;Vcrimigelijk_p;Vcrimiaf_p;Ldrugsovl_p;Ljongerenovl_p;Vjeugdige_p;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F83;De Punt;2011;5090;;2458;2632;48;3;51;7;;10;208;4;1;0;3312;65;1;3709;72;9;401;53;489;811;595;616;2125;7;9;1;9;6;15;9;11;7;12;1;41;7;46;1;1245;364;622;12;2;648;129;99;74;14;7;11;3;239;69;735;22;9;6;6;70;5;37;49;14;2417;325;428;180;85;229;1144;26;9;5;47;3;20;9;21;2;742;30;7;1;208;292;488;155;71;49;332;355;739;697;210;18;1;20;8;9;8;319;298;285;258;399;415;373;364;331;319;299;258;296;196;201;186;162;88;33;8;2;5;1;262;488;293;339;1329;1503;876;17;2;95;545;10;7;236;1043;20;5;1092;21;5;4047;431;827;397;479;9;4;293;5;8;2318;;;0;0;5;2;50;;35;1253;874;191;54;1;8;2;37;7;811;702;790;15;35;30;3;34;1;0;6;2;2;;;422;26;;55;1;0;;7;4;7;1;8;7;6;5;24;;6;5;6;4;7;6;3;;;;;6;3;6;6;6;6;3;6;6;6;1;6;6;;;;;;;;;;;;;;;7;2;;7;2;7;4;7;9;7;5;7;4;7;6;5;;;;;;7;5;6;6;5;9;;;;;7;5;7;8;3;122;;;;;;;;;;;;;;;;;;;7;8;6;3;6;1;;;;;;7;3;;;;;;;;;;
F84;Middelveldsche Akerpolder;2011;14249;;6994;7255;49;1;50;9;;14;3;0;0;9990;70;1;10736;75;3;1490;116;1227;1425;1133;1661;7197;10;5;0;8;8;6;10;8;11;7;50;5;37;8;2624;778;2273;16;924;165;158;74;1;13;2;12;7;1696;306;1627;46;7;8;4;44;8;29;43;28;5751;963;1743;348;418;548;1683;48;9;5;29;3;22;8;37;6;2709;47;1;6;306;545;700;126;164;48;504;643;664;672;91;7;8;7;8;3;852;1002;1158;1064;891;682;764;982;1392;1470;1190;844;711;410;336;261;175;55;8;2;0;4;6;661;1670;1298;1013;2753;5607;1247;8;8;258;1882;13;2;1086;3629;25;5;3860;27;1;10620;1479;2253;746;501;3;5;240;1;7;5373;;;10;12;1;38;47;45;13;1670;2906;797;31;1;14;8;54;1;63;1079;4101;130;1;2;20;1;76;3;2;4;2;65;;;578;6;;30;12;3;26;8;2;8;8;1;8;1;7;2;13;14;6;9;7;1;7;6;7;;;;;6;5;6;7;6;4;6;7;6;9;6;6;6;5;;;;;;;;;;;;;;;6;1;;6;4;7;4;7;2;7;5;7;1;7;2;6;3;;;;;;7;7;6;9;6;2;;;;;7;8;6;8;8;9;105;;;;;;;;;;;;;;;;;;;7;9;7;6;1;;;;;;4;6;;;;;;;;;
F85;Slotervaart-Noord;2011;7726;;3774;3952;48;8;51;2;;12;263;3;4;0;5039;65;2;5534;71;6;519;54;766;1191;703;1026;3467;6;7;0;7;9;9;15;4;9;1;13;3;44;9;41;8;1678;591;1284;16;6;945;145;138;77;11;8;11;2;590;175;991;33;6;10;56;4;35;39;26;3594;556;655;298;165;353;1527;40;9;8;42;5;23;8;22;8;1173;32;6;6;286;466;536;233;103;107;393;541;680;584;85;11;7;14;2;8;8;518;461;480;479;502;595;529;513;526;608;531;365;391;228;267;231;221;182;74;23;2;5;4;414;745;597;464;1857;2421;1228;15;9;144;832;10;8;510;1756;22;7;1850;23;9;5970;641;1221;495;733;9;5;502;6;5;3355;;;14;0;8;148;37;;13;1481;1107;767;44;1;22;9;33;721;1204;1393;37;21;5;35;9;41;5;1;1;2;3;;;438;26;;61;0;0;26;7;6;7;7;8;7;3;6;8;24;;6;9;6;6;7;6;6;8;;;;;6;6;6;6;2;6;3;6;9;6;5;6;2;;;;;;;;;;;;;;;7;2;;7;2;7;4;7;2;7;3;7;7;6;7;;;;;;7;7;6;9;6;2;;;;;7;4;6;7;8;111;;;;;;;;;;;;;;;;;;;7;9;6;9;6;;;;;;5;3;;;;;;;;;;
F86;Overtoomse Veld;2011;10446;;5173;5273;49;5;50;5;;24;22;0;2;0;7258;69;5;7746;74;2;587;65;1422;3586;1073;1013;2700;5;6;0;6;13;6;34;3;10;3;9;7;25;8;64;5;3440;631;1829;17;5;569;123;317;56;4;12;2;31;4;260;142;2199;10;5;5;84;5;43;31;26;4654;406;987;485;148;430;2113;85;9;2;45;4;19;1;24;4;1565;33;6;7;661;677;524;244;147;64;640;715;1047;1221;178;15;1;17;5;6;7;746;686;747;815;1068;1185;925;700;670;678;535;359;323;255;233;172;164;128;41;15;1;5;9;619;1092;890;1017;3254;2565;1009;9;7;218;1247;11;9;735;2601;24;9;2798;26;8;7845;965;2348;488;521;5;349;3;3;4360;;;0;0;20;134;44;;40;2472;748;1140;56;7;26;1;17;2;871;1582;1882;25;20;36;3;43;2;0;6;2;4;;;478;31;;71;9;1;24;6;9;6;7;2;6;7;5;6;39;;5;9;5;6;6;8;6;3;;;;;5;5;5;9;5;7;5;8;6;1;6;5;2;;;;;;;;;;;;;;;7;;7;3;7;6;7;3;6;7;6;3;6;2;6;3;;;;;;6;7;6;1;5;4;;;;;7;2;6;4;8;3;119;;;;;;;;;;;;;;;;;;;7;6;6;1;5;8;;;;;;7;1;;;;;;;
F87;Westlandgracht;2011;5846;;3009;2837;51;5;48;5;;24;92;1;6;6;4384;75;4706;80;5;349;71;431;806;758;1144;2287;6;1;2;7;4;13;8;13;19;6;39;1;41;3;1438;842;1783;30;5;410;83;94;69;8;14;1;16;238;107;649;23;9;10;8;65;3;20;36;44;3117;288;340;491;120;235;1574;69;7;5;50;5;25;14;8;695;22;3;2;427;544;520;81;103;30;694;722;1157;699;162;20;6;26;8;5;3;411;264;200;224;730;710;634;479;442;373;294;265;233;181;141;117;89;50;9;0;0;5;7;334;434;226;534;2124;1607;587;10;107;472;8;1;188;994;17;1038;17;8;4852;357;1228;322;265;4;5;148;2;5;3461;;;1;0;3;20;52;;60;1598;724;1139;46;2;32;9;20;9;564;1310;1575;12;16;3;37;9;45;5;0;3;1;69;;;524;26;;61;9;5;;7;4;6;4;7;3;7;4;6;2;31;;6;3;5;9;6;7;6;1;;;;;5;8;6;1;5;9;6;1;6;3;6;5;8;;;;;;;;;;;;;;;6;6;;6;9;7;8;7;3;7;6;4;6;7;6;8;;;;;;7;6;3;5;6;;;;;7;2;6;4;8;117;;;;;;;;;;;;;;;;;;;7;9;6;7;6;;;;;;3;9;;;;;;;;;;;;;
F88;Sloter-/Riekerpolder;2011;13989;;6922;7067;49;5;50;5;;58;142;1;0;10131;72;4;10965;78;4;994;130;585;603;992;2144;8541;7;1;0;9;4;2;4;3;7;1;15;3;61;1;23;6;1768;1100;2888;20;6;1158;195;129;78;1;13;2;8;7;1797;347;874;59;5;11;5;29;28;40;32;6105;1062;1470;426;417;626;2057;47;10;3;33;7;24;4;30;9;2513;41;2;4;291;717;878;167;113;62;813;734;673;658;121;7;3;10;3;9;7;689;703;984;1089;842;635;738;878;1197;1523;1420;1015;794;455;379;321;224;81;19;3;0;4;561;1205;1252;1004;2536;5949;1482;10;6;198;1417;10;1;1040;3018;21;6;3264;23;3;10971;1077;2176;834;648;4;6;327;2;3;5631;;;19;11;31;64;53;53;21;1138;2838;1655;20;2;29;4;50;4;82;494;4707;348;1;5;8;8;83;6;6;2;2;48;;;649;2;;26;18;5;32;8;2;7;9;8;3;7;9;7;3;12;2;7;3;7;2;7;6;7;2;;;;;6;5;6;8;6;6;6;7;7;6;9;6;5;;;;;;;;;;;;;;;6;9;;6;6;7;8;7;6;7;6;7;1;7;6;6;8;;;;;;8;1;7;2;6;5;;;;;7;8;7;4;8;5;109;;;;;;;;;;;;;;;;;;;8;4;7;4;6;9;;;;;;3;8;;;;;
F89;Slotervaart-Zuid;2011;9073;;4275;4798;47;1;52;9;;25;345;3;8;0;5809;64;6466;71;3;691;73;965;2308;864;993;3179;7;6;0;8;10;6;25;4;9;5;10;9;35;54;2502;624;1146;12;6;1197;231;180;74;4;14;4;11;2;255;130;1581;13;6;6;80;4;35;39;26;4246;580;708;351;119;460;1988;40;10;8;46;8;21;9;19;5;1287;30;3;5;410;602;730;241;122;149;657;581;1125;1266;282;17;2;20;1;8;6;614;566;476;561;734;801;720;638;560;514;442;406;433;319;338;311;306;218;87;27;2;5;6;506;868;592;676;2468;2355;1608;17;7;194;967;10;7;493;1966;21;7;2090;23;7107;760;1617;657;951;10;5;640;7;1;3990;;;0;0;122;18;37;47;22;2940;662;388;73;7;9;7;16;6;847;2180;851;112;21;2;54;6;21;3;2;8;2;27;;;486;29;;74;6;3;28;7;1;6;7;7;7;6;9;6;2;39;14;6;4;6;2;7;6;5;;;;;5;7;6;4;5;8;6;6;6;6;1;5;8;;;;;;;;;;;;;;;7;2;;7;2;8;1;7;9;7;6;6;6;7;6;4;;;;;;7;4;6;5;5;9;;;;;7;3;7;7;9;;;;;;;;;;;;;;;;;;;;7;6;6;5;5;9;;;;;;5;3;;;;;;;;;;
K23;Zuidas;2011;507;;314;193;61;9;38;1;;171;4;0;8;0;458;90;3;467;92;1;4;3;12;2;195;158;133;0;8;0;6;2;4;0;4;38;5;31;2;26;2;42;6;200;139;195;38;5;8;2;0;80;20;0;14;9;19;33;3;21;4;45;2;;;;359;24;23;35;5;2;264;6;0;6;73;5;16;4;7;8;30;8;4;0;132;106;26;0;10;;926;627;130;257;18;83;6;160;9;0;8;29;7;3;7;28;161;93;54;45;22;24;13;11;9;0;1;0;0;0;0;0;4;9;25;12;5;12;328;115;10;2;7;12;2;4;5;42;8;3;44;8;7;465;8;101;9;1;0;2;0;0;505;;;0;0;9;0;;;;16;116;373;3;2;73;9;23;58;41;404;2;11;5;8;1;80;0;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
K24;Oude Pijp;2011;14102;;7123;6979;50;5;49;5;;32;28;0;2;11;11904;84;4;12502;88;7;474;146;276;444;1199;2985;8578;3;4;1;2;3;1;8;5;21;2;60;8;18;1523;1616;7140;50;6;565;126;159;66;5;14;8;18;7;800;317;403;52;6;20;9;26;5;13;35;52;9288;441;470;1301;281;470;6159;166;5;1;66;3;18;8;8;1;1221;13;1;3;1873;2578;1618;87;198;48;1363;1041;1779;1933;339;18;1;21;4;7;3;677;371;300;463;1660;2237;1918;1404;1128;988;767;715;624;360;238;133;60;48;6;4;1;4;1;580;588;352;1158;6352;4222;850;6;163;646;4;6;294;1520;10;8;1631;11;6;12582;491;2991;598;252;1;8;119;0;8;9064;;;0;30;4;10;27;;12;2669;2150;4245;29;4;46;8;23;7;5167;2029;1531;337;57;22;4;16;9;3;7;1;56;;;427;46;;65;2;5;23;7;6;7;3;7;5;6;9;6;6;28;;6;6;6;9;6;3;6;4;;;;;5;7;6;2;6;1;6;2;6;5;6;3;5;2;;;;;;;;;;;;;;;4;5;;5;2;8;8;6;1;6;7;9;7;3;;;;;;8;3;7;6;1;;;;;6;9;6;7;6;9;93;;;;;;;;;;;;;;;;;;;8;5;7;8;6;8;;;;;;3;5;;;;;;;;;;
K25;Nieuwe Pijp;2011;11674;;5622;6052;48;2;51;8;;10;203;1;7;0;9421;80;7;10044;86;596;119;271;600;915;2210;6963;5;1;1;2;3;5;1;7;8;18;9;59;6;21;4;1538;1211;5435;46;6;732;189;256;62;2;16;1;21;8;599;206;424;48;7;16;8;34;5;20;30;50;7480;437;397;1016;252;434;4845;99;5;8;64;8;19;4;8;7;1083;14;5;6;1176;2142;1368;153;160;95;823;818;1212;1299;185;15;2;17;8;7;9;516;305;255;356;1106;1645;1688;1142;939;790;664;559;532;378;245;202;147;116;65;24;0;3;9;450;489;290;752;5032;3484;1177;10;1;107;538;4;6;241;1229;10;5;1300;11;1;10445;423;2080;623;554;4;7;352;3;7218;;;0;21;7;80;29;;16;2556;1795;2867;35;4;39;7;24;9;4455;1632;977;154;61;7;22;6;13;5;2;1;1;62;;;404;47;;62;4;3;23;7;5;7;2;7;5;7;6;6;23;;6;7;6;9;6;3;6;6;;;;;5;8;6;3;6;5;6;4;6;6;6;6;5;4;;;;;;;;;;;;;;;5;;5;9;7;8;7;9;6;8;6;6;7;8;7;3;;;;;;8;1;6;9;6;;;;;6;7;6;8;7;8;98;;;;;;;;;;;;;;;;;;;8;4;7;7;6;8;;;;;;3;6;;;;;;;
K26;Zuid-Pijp;2011;8032;;3863;4169;48;1;51;9;;23;16;0;2;0;6101;76;6716;83;6;687;81;342;911;835;1381;3795;8;6;1;4;3;11;3;10;4;17;2;47;2;35;6;1754;753;2355;29;3;476;168;299;50;5;17;8;31;7;401;156;628;33;8;13;2;53;31;36;34;4759;359;394;496;152;535;2779;44;11;2;58;4;18;11;5;1081;22;7;2;369;1059;1222;127;82;54;446;440;691;714;78;12;1;14;2;9;9;337;307;344;378;582;694;724;645;637;670;665;592;514;349;266;164;93;57;11;2;1;3;4;273;504;408;521;2305;3078;943;11;7;99;585;7;3;327;1185;14;8;1265;15;7;6847;440;1215;615;328;4;1;164;2;4556;;;0;25;3;12;42;;27;3555;446;555;78;12;2;9;8;2502;1566;419;69;54;9;34;4;9;2;1;5;1;76;;;384;68;;88;1;1;25;7;2;7;1;7;2;6;8;6;9;21;;6;9;7;2;6;5;6;9;;;;;6;4;6;5;6;7;6;6;6;6;6;8;6;3;;;;;;;;;;;;;;;6;9;;7;6;7;6;7;1;7;2;7;1;7;4;6;8;;;;;;7;9;6;6;6;1;;;;;6;8;6;6;8;2;105;;;;;;;;;;;;;;;;;;;8;2;7;3;6;7;;;;;;5;9;;;;;;;
K44;Hoofddorppleinbuurt;2011;10936;;5030;5906;46;54;;36;9;0;1;0;8648;79;1;9188;84;318;82;140;249;663;1939;7545;2;9;0;7;1;3;2;3;6;1;17;7;69;13;3;798;947;5451;49;8;767;143;64;78;7;14;7;6;6;943;232;285;64;6;15;9;19;5;17;29;54;6727;517;446;991;304;429;3959;81;6;4;58;9;22;4;11;1;1179;17;5;4;848;1829;1109;169;209;65;786;864;1059;1048;177;14;7;17;1;8;6;703;332;279;316;816;1486;1586;1232;965;731;554;482;480;304;236;176;122;88;39;8;1;5;7;621;545;294;616;4674;3212;974;8;9;172;597;5;5;242;1460;13;4;1518;13;9;9476;463;1667;540;434;4;258;2;4;6413;;;0;44;6;6;28;;15;996;2342;3075;15;5;47;9;36;5;4394;1198;568;253;68;5;18;7;8;9;3;9;1;71;;;482;28;;51;5;4;23;7;7;7;4;;7;6;9;22;;7;7;2;7;1;6;7;;;;;6;3;6;5;6;3;6;8;6;8;6;7;5;9;;;;;;;;;;;;;;;5;9;;6;3;7;8;8;1;6;7;6;8;8;7;4;;;;;;8;3;7;3;6;5;;;;;7;3;6;9;8;97;;;;;;;;;;;;;;;;;;;8;5;7;8;6;6;;;;;;2;5;;;;;;;;;;;
K45;Schinkelbuurt;2011;3761;;1771;1990;47;1;52;9;;9;148;3;9;0;3015;80;2;3186;84;7;178;34;69;113;255;731;2381;4;7;0;9;1;8;3;6;8;19;4;63;3;17;3;392;378;1801;47;9;271;44;46;75;1;12;2;12;7;245;78;109;56;7;18;1;25;2;18;31;50;2309;133;117;338;85;168;1430;38;7;3;61;9;20;4;8;7;370;16;0;303;671;402;54;64;32;297;280;332;425;34;15;3;17;8;7;7;183;107;95;105;293;524;541;394;336;272;225;167;158;106;65;47;52;48;35;8;0;4;150;182;100;205;1605;1158;361;9;6;41;199;5;3;83;432;11;5;453;12;3329;149;573;171;190;5;1;143;3;8;2258;;;0;0;11;35;28;;15;813;619;826;36;36;6;27;4;1418;481;304;55;62;8;21;3;13;5;2;4;1;67;;;464;37;;61;1;5;27;7;4;7;3;;6;8;6;7;30;;6;8;7;6;7;6;4;;;;;5;6;6;1;5;8;6;2;6;4;6;1;5;5;;;;;;;;;;;;;;;5;4;;5;6;7;8;;5;8;5;7;7;7;7;1;;;;;;7;9;7;6;;;;;6;8;6;5;7;2;95;;;;;;;;;;;;;;;;;;;8;6;7;5;6;6;;;;;;3;3;;;;;;;;;;;
K46;Willemspark;2011;5333;;2634;2699;49;4;50;6;;6;57;1;1;0;3788;71;4108;77;93;32;44;53;315;1417;3379;1;7;0;6;0;8;1;5;9;26;6;63;4;10;1;317;842;2207;41;4;365;115;29;71;7;22;6;5;7;700;333;127;60;3;28;7;10;9;11;27;62;2631;296;434;299;160;160;1238;44;6;1;47;1;22;6;22;6;754;28;7;4;265;414;491;64;72;22;412;398;532;504;92;12;9;17;2;8;8;459;344;233;226;294;430;398;529;494;361;366;358;332;180;140;94;44;34;15;2;0;7;3;388;514;258;280;1473;1911;509;9;5;163;567;10;6;205;1160;21;8;1204;22;6;4173;443;690;320;189;3;5;95;1;8;2538;;;0;0;19;0;39;;2;260;1127;1151;10;2;45;4;44;4;210;636;1491;201;8;3;25;1;58;7;7;9;2;1;;;748;21;;34;2;9;;8;2;;7;8;7;3;7;6;18;;7;7;8;1;7;6;6;7;;;;;6;3;6;6;6;4;6;9;7;6;7;6;;;;;;;;;;;;;;;6;6;;6;7;8;8;6;6;6;4;8;1;7;7;;;;;;8;5;7;5;6;6;;;;;7;4;7;4;7;7;80;;;;;;;;;;;;;;;;;;;8;6;7;9;7;1;;;;;;2;1;;;;;;;;;
K47;Museumkwartier;2011;12612;;6069;6543;48;1;51;9;;39;175;1;4;37;8856;70;2;10071;79;9;188;84;51;50;605;3215;8419;1;5;0;7;0;4;0;4;4;8;25;5;66;8;7;8;562;1827;5071;40;2;1423;350;44;78;3;19;3;2;4;1434;591;185;64;9;26;7;8;4;8;22;71;6808;815;850;733;320;343;3638;109;5;53;4;22;7;17;2;1513;22;2;3;827;1187;1404;217;158;55;1053;980;1266;1380;305;13;9;18;5;9;5;808;656;475;506;785;1063;1036;1064;1065;813;782;763;979;747;468;253;158;124;53;13;1;5;2;662;1020;528;670;3513;4402;1817;14;4;227;1120;8;9;428;2210;17;5;2324;18;4;10402;874;1701;1215;602;4;8;349;2;8;6745;;;0;2;29;1;39;45;13;362;2464;3919;5;4;58;1;36;5;1053;1104;3993;595;15;6;16;4;59;2;8;8;1;87;;;654;19;;35;15;8;30;8;3;;8;4;7;7;7;7;12;0;7;6;8;7;5;6;6;;;;;6;4;6;6;6;5;6;9;6;9;6;8;6;3;;;;;;;;;;;;;;;6;5;;6;4;8;3;8;6;6;8;6;7;8;3;7;5;;;;;;8;5;7;4;6;9;;;;;7;4;7;2;7;2;85;;;;;;;;;;;;;;;;;;;8;7;8;1;7;2;;;;;;2;9;;;;
K48;Stadionbuurt;2011;12487;;6336;6151;50;7;49;3;;1166;16;0;1;0;9528;76;3;10397;83;3;872;216;301;908;1146;2052;6992;7;1;7;2;4;7;3;9;2;16;4;56;27;6;2180;1046;4224;33;8;986;250;235;67;17;16;836;271;592;49;2;16;34;8;24;36;40;7909;582;551;731;245;734;5004;62;9;3;63;3;16;6;10;1;1530;19;3;3;839;2109;1823;230;183;85;1448;1342;1919;2057;277;20;9;27;1;7;7;661;440;387;421;848;1272;1350;1248;1027;1057;816;747;742;471;398;276;184;95;37;8;2;4;6;578;688;433;649;4279;4389;1471;11;8;169;777;6;2;344;1699;13;6;1795;14;4;10788;605;1762;869;602;4;8;326;2;6;6434;;;1;147;5;100;44;59;42;3757;628;2049;58;4;31;8;9;8;2941;2209;1245;39;45;7;34;3;19;4;0;6;1;94;;;519;42;;78;2;9;26;7;6;7;4;7;6;7;7;23;;7;2;7;2;7;1;7;2;;;;;6;4;6;6;6;5;6;7;6;9;6;8;6;4;;;;;;;;;;;;;;;7;;7;3;8;7;8;7;6;9;7;6;7;2;;;;;;8;1;7;6;2;;;;;6;9;7;2;8;1;89;;;;;;;;;;;;;;;;;;;8;4;7;7;7;1;;;;;;7;1;;;;;;;;;;;;;
K49;Apollobuurt;2011;8306;;3880;4426;46;7;53;3;;11;4;0;0;5433;65;4;6089;73;3;85;50;41;25;497;2209;5399;1;0;6;0;5;0;3;6;26;6;65;8;4;402;1241;3115;37;5;980;275;37;75;9;21;3;2;9;1081;511;205;60;2;28;4;11;4;6;26;68;4037;670;751;355;215;212;1772;62;5;3;43;9;25;4;23;9;1178;29;2;2;414;426;687;243;126;39;674;677;793;735;152;12;7;17;2;9;5;639;530;412;373;502;507;500;694;639;603;521;496;598;381;275;217;183;152;65;17;2;6;4;532;809;456;459;1901;2857;1292;15;6;207;889;10;7;376;1797;21;6;1868;22;5;6509;702;1098;656;636;7;7;419;5;3855;;;0;0;3;62;56;71;29;63;1850;1942;1;6;50;4;48;141;178;3364;172;3;7;4;6;87;3;4;5;2;15;;;1053;4;;10;16;18;;8;3;;8;3;7;7;7;6;9;;7;8;8;7;6;7;1;;;;;6;6;7;7;7;7;2;7;3;6;6;;;;;;;;;;;;;;;6;9;;6;8;8;8;2;7;4;7;2;8;2;7;6;;;;;;8;5;7;5;6;5;;;;;7;5;7;6;8;6;88;;;;;;;;;;;;;;;;;;;8;8;8;1;7;5;;;;;;2;2;;;;;;;;;;;;;
K52;Scheldebuurt;2011;13873;;6390;7483;46;1;53;9;;19;57;0;4;0;10152;73;2;11128;80;2;322;87;83;225;703;2650;9803;2;3;0;6;0;6;1;6;5;1;19;1;70;7;10;2;756;1203;6175;44;5;1461;286;96;79;3;15;5;5;2;1365;428;319;64;6;20;3;15;1;12;29;58;7765;720;717;1171;476;528;3999;154;6;8;51;5;24;4;15;4;1721;22;2;2;825;1208;1530;434;298;110;1009;966;1217;1309;229;14;16;1;9;5;936;521;421;479;1034;1648;1636;1232;987;821;745;755;815;538;438;281;223;223;116;21;3;5;9;813;826;473;756;5039;4123;1843;13;3;238;901;6;5;398;2112;15;2;2218;16;11761;703;2130;976;867;6;2;586;4;2;7367;;;0;0;5;56;47;65;33;1414;1873;4080;19;2;55;4;25;4;1108;2754;3433;72;15;37;4;46;6;1;1;88;;;622;16;;52;7;12;32;7;6;7;7;8;7;7;1;18;13;7;3;7;4;7;4;6;8;;;;;6;7;7;6;9;6;8;7;1;7;6;5;;;;;;;;;;;;;;;6;2;;6;2;7;6;7;6;6;9;6;7;8;7;3;;;;;;8;4;7;4;6;5;;;;;7;1;7;2;8;85;;;;;;;;;;;;;;;;;;;8;7;7;9;7;1;;;;;;2;7;;;;;;;;;;;
K53;IJselbuurt;2011;5040;;2394;2646;47;5;52;5;;8;0;0;0;3897;77;3;4219;83;7;264;59;121;280;331;966;3019;5;2;1;2;2;4;5;6;6;6;19;2;59;9;20;9;624;514;2040;40;5;361;86;83;68;1;16;2;15;7;353;108;235;50;7;15;5;33;8;19;34;47;3054;229;211;398;123;268;1771;54;8;8;58;20;5;10;9;602;19;7;1;341;669;682;78;76;20;369;347;473;460;40;13;6;16;2;9;1;268;173;172;178;382;662;545;451;409;372;323;293;282;185;137;95;59;41;9;4;0;4;4;221;304;171;326;1809;1679;530;10;5;61;330;6;5;145;696;13;8;732;14;5;4344;257;803;322;208;4;1;113;2;2;2952;;;0;8;0;6;45;;24;1396;419;1137;47;3;38;5;14;2;982;1557;385;28;33;3;52;7;13;0;9;1;71;;;487;36;;75;6;5;24;7;1;6;9;6;8;6;5;6;8;28;;7;1;7;2;6;9;7;;;;;6;4;6;7;6;7;6;7;6;9;6;8;6;3;;;;;;;;;;;;;;;7;;7;2;8;1;8;7;3;7;1;7;7;7;;;;;;8;7;6;1;;;;;6;7;6;9;7;9;102;;;;;;;;;;;;;;;;;;;8;4;7;5;6;8;;;;;;4;3;;;;;;;;;;
